;;;;;;;;;;;;;x
D21_ADJ;$REGION$;;Unions-;;;;;;;;x;;;
D22;$REGION$;;Die Demokratische Volksrepublik von $REGION$;;;;;;;;x;;;
D22_ADJ;$REGION$;;demokratisch-republikanisch;;;;;;;;x;;;
D23;$REGION$;;Das $REGION$-Gebiet;;;;;;;;x;;;
D23_ADJ;$REGION$;;ortsans‰ssig;;;;;;;;x;;;
D24;$REGION$;;Die Glorreiche Union von $REGION$;;;;;;;;x;;;
D24_ADJ;$REGION$;;glorreich;;;;;;;;x;;;
D25;$REGION$;;Das m‰chtige Gebiet von $REGION$;;;;;;;;x;;;
D25_ADJ;$REGION$;;m‰chtig;;;;;;;;x;;;
D26;The $REGION$ Free State;;Der $REGION$-Freistaat;;;;;;;;x;;;
D26_ADJ;$REGION$;;freistaatlich;;;;;;;;x;;;
D27;The $REGION$ Commonwealth;;$REGION$-Commonwealth;;;;;;;;x;;;
D27_ADJ;Commonwealth;;Commonwealth-;;;;;;;;x;;;
D28;The $REGION$ Confederacy;;Die $REGION$-Konfˆderation;;;;;;;;x;;;
D28_ADJ;Confederate;;konfˆderiert;;;;;;;;x;;;
D29;$REGION$;;Das Freie Volk von $REGION$;;;;;;;;x;;;
D29_ADJ;$REGION$;;frei;;;;;;;;x;;;
D30;$REGION$;;Die $REGION$-Republik;;;;;;;;x;;;
D30_ADJ;$REGION$;;republikanisch;;;;;;;;x;;;
D31;$REGION$;;Die Heilige Union von $REGION$;;;;;;;;x;;;
D31_ADJ;$REGION$;;zelotisch;;;;;;;;x;;;
D32;Union of $REGION$;;Die Volks-Union von $REGION$;;;;;;;;x;;;
D32_ADJ;$REGION$;;Unions-;;;;;;;;x;;;
D33;$REGION$ Federation;;Die Fˆderationsstaaten von $REGION$;;;;;;;;x;;;
D33_ADJ;Federation;;Fˆderations-;;;;;;;;x;;;
D34;$REGION$;;Der $REGION$-Fˆderationsstaat;;;;;;;;x;;;
D34_ADJ;$REGION$;;Fˆderations-;;;;;;;;x;;;
D35;The $REGION$ Confederation;;Die $REGION$-Konfˆderation;;;;;;;;x;;;
D35_ADJ;$REGION$;;konfˆderiert;;;;;;;;x;;;
D36;The $REGION$ Federation;;Die $REGION$-Fˆderation;;;;;;;;x;;;
D36_ADJ;$REGION$;;Fˆderations-;;;;;;;;x;;;
D37;The $REGION$ Union;;Die Fromme Union von $REGION$;;;;;;;;x;;;
D37_ADJ;$REGION$;;fromm;;;;;;;;x;;;
D38;$REGION$;;$REGION$-Land;;;;;;;;x;;;
D38_ADJ;$REGION$;;Landes-;;;;;;;;x;;;
D39;$REGION$;;Die Republik der Ruhe von $REGION$;;;;;;;;x;;;
D39_ADJ;$REGION$;;ruhig;;;;;;;;x;;;
D40;$REGION$;;Das Geheime Kˆnigreich von $REGION$;;;;;;;;x;;;
D40_ADJ;$REGION$;;geheim;;;;;;;;x;;;
D41;$REGION$;;Die Kommune von $REGION$;;;;;;;;x;;;
D41_ADJ;$REGION$;;kommunistisch;;;;;;;;x;;;
D42;Dominion of $REGION$;;Die $REGION$-Kommune;;;;;;;;x;;;
D42_ADJ;$REGION$;;kommunistisch;;;;;;;;x;;;
D43;$REGION$;;Die Arbeiter-Union von $REGION$;;;;;;;;x;;;
D43_ADJ;$REGION$;;Arbeiter-;;;;;;;;x;;;
D44;$REGION$;;Die Landgrafschaft von $REGION$;;;;;;;;x;;;
D44_ADJ;$REGION$;;landgrafschaftlich;;;;;;;;x;;;
D45;$REGION$;;Die Nation von $REGION$;;;;;;;;x;;;
D45_ADJ;$REGION$;;national;;;;;;;;x;;;
D46;$REGION$;;Die Heilige Region von $REGION$;;;;;;;;x;;;
D46_ADJ;$REGION$;;zelotisch;;;;;;;;x;;;
D47;The $REGION$ Dominion;;Das $REGION$-Dominion;;;;;;;;x;;;
D47_ADJ;$REGION$;;beherrschend;;;;;;;;x;;;
D48;$REGION$;;Der Volksstaat von $REGION$;;;;;;;;x;;;
D48_ADJ;$REGION$;;vˆlkisch;;;;;;;;x;;;
D49;$REGION$;;Das Hohe Kˆnigreich von $REGION$;;;;;;;;x;;;
D49_ADJ;$REGION$;;hochkˆniglich;;;;;;;;x;;;
D50;$REGION$;;Das Kleinere F¸rstentum von $REGION$;;;;;;;;x;;;
D50_ADJ;$REGION$;;f¸rstlich;;;;;;;;x;;;
ABU;United Arab Emirates;;;;;;;;;;;;x
ABU_ADJ;Trucial;;;;;;;;;;;;x
ABU_absolute_monarchy_ADJ;Trucial;;;;;;;;;;;;x
ABU_bourgeois_dictatorship;United Arab Councils;;;;;;;;;;;;x
ABU_bourgeois_dictatorship_ADJ;Arabic;;;;;;;;;;;;x
ABU_fascist_dictatorship;The Emirate;;;;;;;;;;;;x
ABU_fascist_dictatorship_ADJ;Emirati;;;;;;;;;;;;x
ABU_proletarian_dictatorship;People's Arabic Republic;;;;;;;;;;;;x
ABU_proletarian_dictatorship_ADJ;Arabic;;;;;;;;;;;;x
ACR;Acre;;;;;;;;;;;;;x
ACR_ADJ;Acrean;;;;;;;;;;;;;x
ACR_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;;x;;;;;;;;;;
ACR_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;;x;;;;;;;;;;
ACR_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;;x;;;;;;;;;;
ACR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;;x;;;;;;;;;;
ACR_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;;x;;;;;;;;;;
ACR_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;;x;;;;;;;;;;
ACR_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;;x;;;;;;;;;;
AIN;Ainu;;;;;;;;;;;;;x
AIN_ADJ;Ainu;;;;;;;;;;;;;x
AIN_absolute_monarchy;Ainu Mosir;;;;;;;;;;;;;x
AIN_conservative;Conservatist Faction;;;;;;;;;;;;;x
AIN_liberal;Reformist Faction;;;;;;;;;;;;;x
AIN_socialist;Progressive Faction;;;;;;;;;;;;;x
AIN_communist;Communist Faction;;;;;;;;;;;;;x
AIN_reactionary;Nationalist Faction;;;;;;;;;;;;;x
AIN_anarcho_liberal;Radical Faction;;;;;;;;;;;;;x
AIN_fascist;Fascist faction;;;;;;;;;;;;;x
AKH;Astrakhan;;;;;;;;;;;;x
AKH_ADJ;Astrakhan;;;;;;;;;;;;x
AKH_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;x
AKH_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;x
AKH_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;x
AKH_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;x
AKH_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;x
AKH_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;x
AKH_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;x
ALS;Elsass;;;;;;;;;;;;;x
ALS_ADJ;Alsatian ;;;;;;;;;;;;;x
ALS_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;;;;;;;;;;;x;;;;;;;;;;
ALS_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;;;;;;;;;;;x;;;;;;;;;;
ALS_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;;;;;;;;;;;x;;;;;;;;;;
ALS_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;;;;;;x;;;;;;;;;;
ALS_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;;;;;;;;;;;x;;;;;;;;;;
ALS_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;;;;;;x;;;;;;;;;;
ALS_communist;Communist Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;;;;;;;;;;;x;;;;;;;;;;
ALS_fascist;NSDP;NSDP;NSDP;;;;;;;;;;;;x;;;;;;;;;;
ALT;Altai Union;;;;;;;;;;;;x
ALT_absolute_monarchy;Khanate of the Altai;;;;;;;;;;;;x
ALT_hms_government;Altai Khanate;;;;;;;;;;;;x
ALT_prussian_constitutionalism;Altai Khanate;;;;;;;;;;;;x
ALT_ADJ;Altaic;;;;;;;;;;;;x
ALT_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;x
ALT_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;x
ALT_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;x
ALT_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;x
ALT_socialist;Mensheviks;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;x
ALT_communist;Gorno-Altai Communist Party;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;x
ALT_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;x
ANG;Angola;;;;;;;;;;;;x
ANG_ADJ;Angolan;;;;;;;;;;;;x
ANI_absolute_monarchy;Antillean Empire;Empire of Antillia;Empire of Antillia;;Empire of Antillia;;;;;;;;;x ;
ANI_proletarian_dictatorship;Red Indies;the Red Indies;the Red Indies;;the Red Indies;;;;;;;;;x ;
ANI_presidential_dictatorship;Antillean Republic;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;x ;
ANI_fascist_dictatorship;The Black Isles;the Black Isles;the Black Isles;;the Black Isles;;;;;;;;;x ;
ANI_bourgeois_dictatorship;Antillean Republic;Pirates of the Caribbean;Pirates of the Caribbean;Pirates of the Caribbean;;;;;;;;;x ;
ANI;Antilles Confederation;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;x
ANI_ADJ;Antillean;Antillean;Antillean;;Antillean;;;;;;;;;x
ANT;Antigua;;;;;;;;;;;;x
ANT_ADJ;Antiguan;;;;;;;;;;;;x
AOT;Aotearoa;Aotearoa;Aotearoa;;;;;;;;;;;x
AOT_ADJ;Maori;Maori;Maori;;;;;;;;;;;x
AOT_conservative;Kingitanga;Kingitanga;Kingitanga;;;;;;;;;;;x
AOT_liberal;Ropu o te Rangatahi;Ropu o te Rangatahi;Ropu o te Rangatahi;;;;;;;;;;;x
AOT_socialist;Ratana;Ratana;Ratana;;;;;;;;;;;x
AOT_communist;Toputanga-a-iwi;Toputanga-a-iwi;Toputanga-a-iwi;;;;;;;;;;;x
AOT_reactionary;Kauhanganui;Kauhanganui;Kauhanganui;;;;;;;;;;;x
AOT_anarcho_liberal;Mana Maori Motuhake;Mana Maori Motuhake;Mana Maori Motuhake;;;;;;;;;;;x
AOT_fascist;Kawanatanga Whakahawini;Kawanatanga Whakahawini;Kawanatanga Whakahawini;;;;;;;;;;;x
ARB;Arabia;;;;;;;;;;;;x
ARB_ADJ;Arabian;;;;;;;;;;;;x
ARB_democracy;Arab Republic;;;;;;;;;;;;x
ARB_proletarian_dictatorship;Arab Republic;;;;;;;;;;;;x
ARB_bourgeois_dictatorship;Arab Republic;;;;;;;;;;;;x
ARB_fascist_dictatorship;Free Arab State;;;;;;;;;;;;x
ARB_reactionary;Al Sa'ud;;;;;;;;;;;;;x
ARB_reactionary2;Al Rashid;;;;;;;;;;;;;x
ARB_conservative;Al Muhafidh;;;;;;;;;;;;;x
ARB_liberal;Al Mutaharir;;;;;;;;;;;;;x
ARB_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;x
ARB_socialist;Al Ishtiraki;;;;;;;;;;;;;x
ARB_communist;Al Shiu'i;;;;;;;;;;;;;x
ARB_fascist;Al Fashi;;;;;;;;;;;;;x
ARU;Arab Union;;;;;;;;;;;;;x
ARU_ADJ;Arabic;;;;;;;;;;;;;x
ARU_proletarian_dictatorship;The Arab People's Republic;;;;;;;;;;;;;x
ARU_fascist_dictatorship;The Arab Republic;;;;;;;;;;;;;x
ARU_presidential_dictatorship;The Arab Republic;;;;;;;;;;;;;x
ARU_bourgeois_dictatorship;The Arab Republic;;;;;;;;;;;;;x
ARU_democracy;The United Arab Republic;;;;;;;;;;;;;x
ASR;Asir;;;;;;;;;;;;x
ASR_ADJ;Asiri;;;;;;;;;;;;x
ASR_absolute_monarchy_ADJ;Idrisi;;;;;;;;;;;;x
ASR_prussian_constitutionalism_ADJ;Idrisi;;;;;;;;;;;;x
ASR_hms_government_ADJ;Idrisi;;;;;;;;;;;;x
ASR_reactionary;Hizb al-Hashemiyya al-Urduni;;;;;;;;;;;;;x
ASR_conservative;Hizb al-Wasat al-Islami;;;;;;;;;;;;;x
ASR_liberal;Yasari-d-al-Dimaqrati al-Urduni;;;;;;;;;;;;;x
ASR_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;x
ASR_socialist;Hizb al-Baath al-Ishtiraki al-Urduni;;;;;;;;;;;;;x
ASR_communist;Al-Hizb al-Shuyui al-Urduni;;;;;;;;;;;;;x
ASR_fascist;Hizb al-Mustaqbal;;;;;;;;;;;;;x
ASM;Assam;;;;;;;;;;;;x
ASM_ADJ;Assamese;;;;;;;;;;;;x
ASM_fascist_dictatorship;Assamese Republic;;;;;;;;;;;;x
ASM_presidential_dictatorship;Assamese Republic;;;;;;;;;;;;x
ASM_bourgeois_dictatorship;Assamese Republic;;;;;;;;;;;;x
ASM_conservative;Royal Faction;;;;;;;;;;;;x
ASM_liberal;The Liberal Faction;;;;;;;;;;;;x
ASM_reactionary;The Nationalist Faction;;;;;;;;;;;;x
ASM_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x
ASM_socialist;The Socialist Faction;;;;;;;;;;;;x
ASM_communist;The Communist Faction;;;;;;;;;;;;x
ASM_fascist;The Fascist Faction;;;;;;;;;;;;x
ASY;Assyria;;;;;;;;;;;;x
ASY_ADJ;Assyrian;;;;;;;;;;;;x
ASY_fascist_dictatorship;Aramaea;;;;;;;;;;;;x
ASY_fascist_dictatorship_ADJ;Aramaic;;;;;;;;;;;;x
ATR;Asturias;Asturias;Asturias;;Asturias;;;;;;;;;x
ATR_ADJ;Asturian;Asturien;Asturisch;;Asturiano;;;;;;;;;x
ATR_conservative;Partido Moderado;Partido Moderado;Partido Moderado;;;;;;;;;;;x
ATR_liberal;Partido Progresista;Partido Progresista;Partido Progresista;;;;;;;;;;;x
ATR_reactionary;ComuniÛn Carlista;ComuniÛn Carlista;ComuniÛn Carlista;;;;;;;;;;;x
ATR_socialist;Partido Socialista;Partido Socialista;Partido Socialista;;;;;;;;;;;x
ATR_communist;FederaciÛn Regional;FederaciÛn Regional;FederaciÛn Regional;;;;;;;;;;;x
ATR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;x
ATR_fascist;Falange;Falange;Falange;;;;;;;;;;;x
BAH;Bahia;;;;;;;;;;;;;x
BAH_ADJ;Bahian;;;;;;;;;;;;;x
BAH_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;;x;;;;;;;;;;
BAH_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;;x;;;;;;;;;;
BAH_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;;x;;;;;;;;;;
BAH_conservative_2;Partido Paulista;Partido Paulista;Partido Paulista;;;;;;;;;;;;x;;;;;;;;;;
BAH_liberal_2;Partido Carioca;Partido Carioca;Partido Carioca;;;;;;;;;;;;x;;;;;;;;;;
BAH_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;;x;;;;;;;;;;
BAH_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;;x;;;;;;;;;;
BAH_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;;x;;;;;;;;;;
BAH_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;;x;;;;;;;;;;
BAN;Banat;;;;;;;;;;;;x
BAN_democracy;Banat Republic;;;;;;;;;;;;x
BAN_ADJ;Banati;;;;;;;;;;;;x
BAN_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;x
BAN_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;x
BAN_reactionary;The Royalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;x
BAN_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;x
BAN_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;x
BAN_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;x
BAN_fascist;The Nationalist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;x
BAR;Barbados;;;;;;;;;;;;x
BAR_ADJ;Barbadian;;;;;;;;;;;;x
BHM;Bahamas;;;;;;;;;;;;x
BHM_ADJ;Bahamian;;;;;;;;;;;;x
BHR;Bahrain;;;;;;;;;;;;x
BHR_ADJ;Bahraini;;;;;;;;;;;;x
BHR_reactionary;Hizb al-Hashemiyya al-Urduni;;;;;;;;;;;;;x
BHR_conservative;Hizb al-Wasat al-Islami;;;;;;;;;;;;;x
BHR_liberal;Yasari-d-al-Dimaqrati al-Urduni;;;;;;;;;;;;;x
BHR_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;x
BHR_socialist;Hizb al-Baath al-Ishtiraki al-Urduni;;;;;;;;;;;;;x
BHR_communist;Al-Hizb al-Shuyui al-Urduni;;;;;;;;;;;;;x
BHR_fascist;Hizb al-Mustaqbal;;;;;;;;;;;;;x
BIH;Bihar;;;;;;;;;;;;x
BIH_ADJ;Bihari;;;;;;;;;;;;x
BIH_proletarian_dictatorship;Bihari People's Republic;;;;;;;;;;;;x
BIH_conservative;Lok Janshakti Party;;;;;;;;;;;;x
BIH_liberal;Samata Party;;;;;;;;;;;;x
BIH_reactionary;Bihar Vikas;;;;;;;;;;;;x
BIH_anarcho_liberal;Bihari Radical Party;;;;;;;;;;;;x
BIH_socialist;Janata Dal;;;;;;;;;;;;x
BIH_communist;Bihari Communist Party;;;;;;;;;;;;x
BIH_fascist;Bihari Fascist Party;;;;;;;;;;;;x
BIM;Bima;;;;;;;;;;;;x
BIM_ADJ;Bima;;;;;;;;;;;;x
BKV;Bukovina;;;;;;;;;;;;x
BKV_ADJ;Bukovinian;;;;;;;;;;;;x
BLC;Baluchistan;;;;;;;;;;;;x
BLC_ADJ;Baluchi;;;;;;;;;;;;x
BMK;Mali;;;;;;;;;;;;x
BMK_ADJ;Malian;;;;;;;;;;;;x
BRZ_absolute_monarchy;The Empire of Brazil;;;;;;;;;;;;x
BRZ_prussian_constitutionalism;The Empire of Brazil;;;;;;;;;;;;x
BRZ_hms_government;The Empire of Brazil;;;;;;;;;;;;x
BYE;Belarus;;;;;;;;;;;;;x
BYE_ADJ;Belarusian;;;;;;;;;;;;;x
BYE_conservative;Slavophile;Slavophile;Slawophile;;;;;;;;;;;;x;;;;;;;;;;
BYE_liberal;Westerniser;Westerniser;Westler;;;;;;;;;;;;x;;;;;;;;;;
BYE_communist;Social Democratic;Social-dÈmocrate;Social Democratic;;;;;;;;;;;;x;;;;;;;;;;
BYE_communist_2;Bolshevik;Bolshevik;Bolschewiki;;;;;;;;;;;;x;;;;;;;;;;
BYE_socialist;Menshevik;Menshevik;Menschewiki;;;;;;;;;;;;x;;;;;;;;;;
BYE_reactionary;Panslavic;Panslavic;Panslawisten;;;;;;;;;;;;x;;;;;;;;;;
BYE_liberal_2;Kadets;Kadets;Kadetten;;;;;;;;;;;;x;;;;;;;;;;
BYE_conservative_2;Octobrists;Octobristes;Octobristen;;;;;;;;;;;;x;;;;;;;;;;
BYE_socialist_2;Populists;Populistes;Populisten;;;;;;;;;;;;x;;;;;;;;;;
BYE_socialist_3;Socialist Revolutionary;RÈvolutionnaire socialiste;Sozialrevolution‰re;;;;;;;;;;;;x;;;;;;;;;;
BYE_anarcho_liberal;Radicals;Radicaux;Radikale;;;;;;;;;;;;x;;;;;;;;;;
BYE_fascist;Fascists;Fascistes;Faschisten;;;;;;;;;;;;x;;;;;;;;;;
BLZ;Belize;;;;;;;;;;;;x
BLZ_ADJ;Belizean;;;;;;;;;;;;x
BNG;Bengal;;;;;;;;;;;;x
BNG_ADJ;Bengali;;;;;;;;;;;;x
BNG_proletarian_dictatorship;Bengali People's Republic;;;;;;;;;;;;x
BNG_conservative;Awami League;;;;;;;;;;;;x
BNG_liberal;Liberal Democratic Party;;;;;;;;;;;;x
BNG_reactionary;Jamaat-e-Islami;;;;;;;;;;;;x
BNG_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x
BNG_socialist;Jatiyo Samajtantrik Dal;;;;;;;;;;;;x
BNG_communist;Bengali Communist Party;;;;;;;;;;;;x
BNG_fascist;Jatiya Party;;;;;;;;;;;;x
breton;Breton;Breton;Bretonisch;;;;;;;;;;;x
BRT;Brittany;;;;;;;;;;;;;x
BRT_ADJ;Breton;;;;;;;;;;;;;x
BRT_fascist;PNB;;;;;;;;;;;;;x
BRT_reactionary;Strollad Broadelour;;;;;;;;;;;;;x
BRT_communist;Strollad Komunist;;;;;;;;;;;;;x
BRT_socialist;Unvaniezh Demokratel;;;;;;;;;;;;;x
BRT_liberal;Strollad Liberal;;;;;;;;;;;;;x
BRT_anarcho_liberal;Strollad Radical;;;;;;;;;;;;;x
BRT_conservative;Strollad Mirour;;;;;;;;;;;;;x
BRU_ADJ;Bruneian;;;;;;;;;;;;;x
BSQ;Vasconia;;;;;;;;;;;;;x
BSQ_ADJ;Basque;;;;;;;;;;;;;x
BSQ_socialist;Abertzale Ekintza;;;;;;;;;;;;;x
BSQ_conservative;Alderdi Jeltzalea;;;;;;;;;;;;;x
BSQ_liberal;Alderdi Abertzale Errepublikanoa;;;;;;;;;;;;;x
BSQ_reactionary;Alderdi Monarkiko;;;;;;;;;;;;;x
BSQ_communist;Mugimendu Komunista;;;;;;;;;;;;;x
BSQ_fascist;Euskadi Ta Askatasuna;;;;;;;;;;;;;x
BSQ_anarcho_liberal;Alderdi Anarkiazale;;;;;;;;;;;;;x
BSQ_fascist_dictatorship;Euskadi;;;;;;;;;;;;;x
CAR;Central African Republic;;;;;;;;;;;;x
CAR_ADJ;Central African;;;;;;;;;;;;x
CAR_fascist_dictatorship;Central African Empire;;;;;;;;;;;;x
CAR_absolute_monarchy;Central African Empire;;;;;;;;;;;;x
CAR_prussian_constitutionalism;Ubangi-Chari;;;;;;;;;;;;x
CAR_prussian_constitutionalism_ADJ;Ubangi;;;;;;;;;;;;x
CAR_hms_government;Ubangi-Chari;;;;;;;;;;;;x
CAR_hms_government_ADJ;Ubangi;;;;;;;;;;;;x
CEQ;Equador Confederation;;;;;;;;;;;;;x
CEQ_proletarian_dictatorship;Quilombola;;;;;;;;;;;;;x
CEQ_ADJ;Nordestino;;;;;;;;;;;;;x
CEQ_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;;x;;;;;;;;;;
CEQ_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;;x;;;;;;;;;;
CEQ_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;;x;;;;;;;;;;
CEQ_conservative_2;Partido Paulista;Partido Paulista;Partido Paulista;;;;;;;;;;;;x;;;;;;;;;;
CEQ_liberal_2;Partido Carioca;Partido Carioca;Partido Carioca;;;;;;;;;;;;x;;;;;;;;;;
CEQ_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;;x;;;;;;;;;;
CEQ_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;;x;;;;;;;;;;
CEQ_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;;x;;;;;;;;;;
CEQ_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;;x;;;;;;;;;;
CGO;Congo;;;;;;;;;;;;x
CGO_ADJ;Congolese;;;;;;;;;;;;x
CHD;Chad;;;;;;;;;;;;x
CHD_ADJ;Chadian;;;;;;;;;;;;x
CHI_presidential_dictatorship;Beiyang China;;;;;;;;;;;;;x
CHI_proletarian_dictatorship;Peoples' Republic of China;;;;;;;;;;;;;x
CHI_democracy;Republic of China;;;;;;;;;;;;;x
CHI_absolute_monarchy;Chinese Empire;;;;;;;;;;;;;x
CHK;Champassak;Champassak;Champassak;Champasak;Champasak;Champassak;Champassak;Champassak;;;;;;x;
